combination,quantity,population,recordings_per_model,models,mean_sensitivity,min_sensitivity,max_sensitivity,M_secondary_diagnostic
D+P+H+M,all,locked_test,53,5,0.4,0.37735849056603776,0.41509433962264153,True
D+P+M,100,all_eligible,276,5,0.47246376811594204,0.4166666666666667,0.5217391304347826,True
D+P+M,100,development,223,5,0.46995515695067264,0.42152466367713004,0.5201793721973094,True
D+P+M,100,locked_test,53,5,0.4830188679245283,0.39622641509433965,0.5283018867924528,True
D+P+M,200,all_eligible,276,5,0.4891304347826087,0.4528985507246377,0.532608695652174,True
D+P+M,200,development,223,5,0.4977578475336323,0.4618834080717489,0.5336322869955157,True
D+P+M,200,locked_test,53,5,0.4528301886792453,0.41509433962264153,0.5283018867924528,True
D+P+M,25,all_eligible,276,5,0.4318840579710145,0.2753623188405797,0.6340579710144928,True
D+P+M,25,development,223,5,0.43408071748878924,0.2914798206278027,0.6233183856502242,True
D+P+M,25,locked_test,53,5,0.4226415094339623,0.20754716981132076,0.6792452830188679,True
D+P+M,50,all_eligible,276,5,0.42246376811594205,0.34782608695652173,0.5,True
D+P+M,50,development,223,5,0.4242152466367713,0.34977578475336324,0.5067264573991032,True
D+P+M,50,locked_test,53,5,0.41509433962264153,0.33962264150943394,0.49056603773584906,True
D+P+M,all,all_eligible,276,5,0.4318840579710145,0.40942028985507245,0.4746376811594203,True
D+P+M,all,development,223,5,0.4385650224215247,0.4170403587443946,0.47533632286995514,True
D+P+M,all,locked_test,53,5,0.4037735849056604,0.37735849056603776,0.4716981132075472,True
D+R,100,all_eligible,276,5,0.6101449275362318,0.5652173913043478,0.6485507246376812,False
D+R,100,development,223,5,0.6044843049327354,0.5605381165919282,0.6367713004484304,False
D+R,100,locked_test,53,5,0.6339622641509434,0.5849056603773585,0.6981132075471698,False
D+R,200,all_eligible,276,5,0.6615942028985508,0.6485507246376812,0.6884057971014492,False
D+R,200,development,223,5,0.6556053811659193,0.6412556053811659,0.672645739910314,False
D+R,200,locked_test,53,5,0.6867924528301886,0.6415094339622641,0.7547169811320755,False
D+R,25,all_eligible,276,5,0.6217391304347826,0.5869565217391305,0.6884057971014492,False
D+R,25,development,223,5,0.6224215246636772,0.5919282511210763,0.6816143497757847,False
D+R,25,locked_test,53,5,0.6188679245283019,0.5660377358490566,0.7169811320754716,False
D+R,50,all_eligible,276,5,0.6072463768115942,0.572463768115942,0.6376811594202898,False
D+R,50,development,223,5,0.5964125560538117,0.5650224215246636,0.6278026905829597,False
D+R,50,locked_test,53,5,0.6528301886792452,0.6037735849056604,0.6792452830188679,False
D+R,all,all_eligible,276,5,0.6485507246376812,0.6376811594202898,0.6594202898550725,False
D+R,all,development,223,5,0.6484304932735426,0.6412556053811659,0.6591928251121076,False
D+R,all,locked_test,53,5,0.6490566037735849,0.6226415094339622,0.6981132075471698,False
D+R+F,100,all_eligible,276,5,0.5615942028985507,0.4384057971014493,0.7137681159420289,False
D+R+F,100,development,223,5,0.5614349775784753,0.43946188340807174,0.7130044843049327,False
D+R+F,100,locked_test,53,5,0.5622641509433962,0.4339622641509434,0.7169811320754716,False
D+R+F,200,all_eligible,276,5,0.6804347826086956,0.6304347826086957,0.7644927536231884,False
D+R+F,200,development,223,5,0.6816143497757848,0.6322869955156951,0.7713004484304933,False
D+R+F,200,locked_test,53,5,0.6754716981132075,0.6226415094339622,0.7358490566037735,False
D+R+F,25,all_eligible,276,5,0.7543478260869565,0.6521739130434783,0.7898550724637681,False
D+R+F,25,development,223,5,0.7533632286995516,0.6457399103139013,0.7847533632286996,False
D+R+F,25,locked_test,53,5,0.7584905660377359,0.6792452830188679,0.8113207547169812,False
D+R+F,50,all_eligible,276,5,0.4797101449275362,0.33695652173913043,0.6413043478260869,False
D+R+F,50,development,223,5,0.4789237668161435,0.3452914798206278,0.6412556053811659,False
D+R+F,50,locked_test,53,5,0.4830188679245283,0.3018867924528302,0.6792452830188679,False
D+R+F,all,all_eligible,276,5,0.6746376811594202,0.6231884057971014,0.7137681159420289,False
D+R+F,all,development,223,5,0.6753363228699552,0.6278026905829597,0.7174887892376681,False
D+R+F,all,locked_test,53,5,0.6716981132075471,0.6037735849056604,0.7358490566037735,False
D+R+F+H,100,all_eligible,276,5,0.6978260869565217,0.6268115942028986,0.7789855072463768,False
D+R+F+H,100,development,223,5,0.7121076233183856,0.6412556053811659,0.7892376681614349,False
D+R+F+H,100,locked_test,53,5,0.6377358490566037,0.5660377358490566,0.7358490566037735,False
D+R+F+H,200,all_eligible,276,5,0.7797101449275362,0.7536231884057971,0.8188405797101449,False
D+R+F+H,200,development,223,5,0.7919282511210762,0.7623318385650224,0.8340807174887892,False
