fold_type,combination,quantity,feature_mode,macro_equal_group_equal_source_BA,macro_ai_recall,macro_human_recall,macro_recording_weighted_within_experiment_BA,descriptive_mean_single_model_fold_auc,available_held_source_experiments,intended_held_source_experiments,eligible_model_count,omitted_model_count,status
generator_holdout,S+R+P+H+SC,100,values_plus_missing,0.5796961918005643,0.4676568306010929,0.6917355530000358,0.5849702422236234,0.6405409012782438,5,5,25,0,available
generator_holdout,S+R+P+H+SC,200,values_plus_missing,0.5888270789599808,0.47266393442622945,0.7049902234937321,0.5921011979823455,0.6515809248219095,5,5,25,0,available
generator_holdout,S+R+P+H+SC,all,values_plus_missing,0.5836655402230845,0.46781038251366114,0.6995206979325077,0.5878715374106768,0.6486133923477791,5,5,25,0,available
generator_holdout,S+R+P+H+BC,25,values_plus_missing,0.6167336977070199,0.527592349726776,0.7058750456872638,0.6195654056326187,0.6734624467494155,5,5,25,0,available
generator_holdout,S+R+P+H+BC,50,values_plus_missing,0.6057619624785953,0.48797814207650275,0.7235457828806877,0.6034842633459436,0.6588236668939587,5,5,25,0,available
generator_holdout,S+R+P+H+BC,100,values_plus_missing,0.6098778318284842,0.5133174863387978,0.7064381773181707,0.6099640316309374,0.6765484266374416,5,5,25,0,available
generator_holdout,S+R+P+H+BC,200,values_plus_missing,0.612054135717146,0.5082781420765027,0.7158301293577892,0.6121318594997899,0.6850845687766924,5,5,25,0,available
generator_holdout,S+R+P+H+BC,all,values_plus_missing,0.6132336226412132,0.5111245901639345,0.7153426551184919,0.6126536412358133,0.6845922139047184,5,5,25,0,available
generator_holdout,S+R+P+SC+BC,25,values_plus_missing,0.6014568245533394,0.5270601092896174,0.6758535398170611,0.6051165931063471,0.6471765589711415,5,5,25,0,available
generator_holdout,S+R+P+SC+BC,50,values_plus_missing,0.5814003861229896,0.4668852459016393,0.69591552634434,0.5836229114123581,0.6280672513740966,5,5,25,0,available
generator_holdout,S+R+P+SC+BC,100,values_plus_missing,0.5845789184853831,0.47674590163934427,0.6924119353314222,0.5847070854350568,0.636156461282751,5,5,25,0,available
generator_holdout,S+R+P+SC+BC,200,values_plus_missing,0.5914764049691229,0.4789459016393443,0.7040069082989013,0.5894729508196722,0.644991684232336,5,5,25,0,available
generator_holdout,S+R+P+SC+BC,all,values_plus_missing,0.5918416451253047,0.4824994535519126,0.7011838366986969,0.5892665536990332,0.6441253888509523,5,5,25,0,available
generator_holdout,S+R+F+H+SC,25,values_plus_missing,0.6119148693750452,0.4937065573770492,0.7301231813730413,0.6061681825346785,0.6374004982187171,5,5,25,0,available
generator_holdout,S+R+F+H+SC,50,values_plus_missing,0.5987637399961427,0.4518568306010929,0.7456706493911925,0.590231299915931,0.6220444210579033,5,5,25,0,available
generator_holdout,S+R+F+H+SC,100,values_plus_missing,0.6025011082995165,0.46094262295081967,0.7440595936482135,0.5924905422446406,0.6312568786745616,5,5,25,0,available
generator_holdout,S+R+F+H+SC,200,values_plus_missing,0.6121561179629313,0.47183551912568306,0.7524767168001797,0.6007615095628415,0.641190604097384,5,5,25,0,available
generator_holdout,S+R+F+H+SC,all,values_plus_missing,0.6110377423891954,0.47059617486338795,0.7514793099150029,0.5996610682009248,0.6395306282396338,5,5,25,0,available
generator_holdout,S+R+F+H+BC,25,values_plus_missing,0.63057284096893,0.5033278688524591,0.7578178130854007,0.6148249921185371,0.6674207050485333,5,5,25,0,available
generator_holdout,S+R+F+H+BC,50,values_plus_missing,0.6277530873073844,0.4953639344262295,0.7601422401885394,0.6146290825977301,0.6643231877270799,5,5,25,0,available
generator_holdout,S+R+F+H+BC,100,values_plus_missing,0.626634203825241,0.5017032786885246,0.7515651289619576,0.6152146201134931,0.6715243657439468,5,5,25,0,available
generator_holdout,S+R+F+H+BC,200,values_plus_missing,0.635780281050399,0.5069890710382514,0.7645714910625465,0.6230257855191257,0.6794240105362265,5,5,25,0,available
generator_holdout,S+R+F+H+BC,all,values_plus_missing,0.6407284281799714,0.511296174863388,0.7701606814965548,0.6246384720470786,0.6803532368183128,5,5,25,0,available
generator_holdout,S+R+F+SC+BC,25,values_plus_missing,0.6195725368854978,0.49418524590163937,0.7449598278693564,0.6065277191046659,0.6426509596389035,5,5,25,0,available
generator_holdout,S+R+F+SC+BC,50,values_plus_missing,0.6035946705454346,0.45520327868852456,0.7519860624023446,0.5931665431904161,0.6208278731410578,5,5,25,0,available
generator_holdout,S+R+F+SC+BC,100,values_plus_missing,0.6037835631442859,0.45959617486338794,0.7479709514251839,0.5903149143547709,0.6242882828943637,5,5,25,0,available
generator_holdout,S+R+F+SC+BC,200,values_plus_missing,0.6095241283080892,0.4649890710382514,0.754059185577927,0.5945137662883564,0.6311396044019463,5,5,25,0,available
generator_holdout,S+R+F+SC+BC,all,values_plus_missing,0.6123133962175755,0.47091038251366124,0.7537164099214898,0.5965128835645229,0.6310417823653427,5,5,25,0,available
generator_holdout,S+R+H+SC+BC,25,values_plus_missing,0.5905989208914859,0.49678524590163936,0.6844125958813325,0.5992339691046659,0.649722134853376,5,5,25,0,available
